id;imagem;codigo;descricao;fornecedor;linha;cor;medida;sistema;valor;observacao;estoque;nescessario;material;peso_kg_m
664;;MG25-88030;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.541
615;;MG25-88031;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;1200
616;;MG25-88032;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;1137
617;;MG25-88033;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.703
679;;MG25-88039;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.554
680;;MG25-88040;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.482
682;;MG25-88041;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.532
681;;MG25-88042;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.589
685;;MG25-88043;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.947
624;;MG25-88044;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.997
684;;MG25-88047;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;1040
686;;MG25-88048;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;1037
683;;MG25-88049;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.907
628;;MG25-88050;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.926
626;;MG25-88053;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.542
687;;MG25-88055;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.545
688;;MG25-88056;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.538
689;;MG25-88057;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.632
690;;MG25-88068;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.574
691;;MG25-88069;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.613
692;;MG25-88070;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.559
1208;;MG25-88072;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.435
665;;MG25-88079;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.333
668;;MG25-88080;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.362
667;;MG25-88081;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.420
669;;MG25-88082;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.389
708;;MG25-88084;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.125
670;;MG25-88085;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.506
671;;MG25-88086;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.589
709;;MG25-88093;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.280
710;;MG25-88094;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.362
711;;MG25-88097;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.399
712;;MG25-88098;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.399
713;;MG25-88099;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.228
629;;MG25-88102;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.110
632;;MG25-88103;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.156
693;;MG25-88107;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.269
663;;MG25-88108;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.142
694;;MG25-88111;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.634
607;;MG25-88121;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;1585
608;;MG25-88122;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;1509
609;;MG25-88123;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.917
639;;MG25-88186;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.496
633;;MG25-88187;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.534
640;;MG25-88188;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.586
695;;MG25-88192;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.554
666;;MG25-88200;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.440
912;;MG25-88202;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.107
625;;MG25-88225;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.926
627;;MG25-88227;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.574
594;;MG25-88228;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.791
599;;MG25-88230;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.976
696;;MG25-88242;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.674
697;;MG25-88243;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.636
698;;MG25-88244;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.699
699;;MG25-88245;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.636
700;;MG25-88246;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.645
641;;MG25-88266;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.945
1081;;MG25-88271;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.285
596;;MG25-88272;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.430
707;;MG25-88276;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.144
1039;;MG25-88280;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;1006
701;;MG25-88289;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;1040
702;;MG25-88290;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;1078
672;;MG25-88292;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.214
1019;;MG25-88302;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.267
714;;MG25-88360;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.984
716;;MG25-88370;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;1108
717;;MG25-88380;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.794
718;;MG25-88390;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;1291
719;;MG25-88400;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.845
720;;MG25-88420;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;1207
721;;MG25-88430;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.948
722;;MG25-88450;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;1332
618;;MG25-88500;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.542
619;;MG25-88501;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.458
621;;MG25-88502;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.490
620;;MG25-88503;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.523
623;;MG25-88504;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.757
622;;MG25-88505;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.745
606;;MG25-88506;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.303
605;;MG25-88507;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.383
643;;MG25-88508;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.810
644;;MG25-88509;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.843
645;;MG25-88510;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;1085
648;;MG25-88511;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.578
647;;MG25-88513;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;1075
646;;MG25-88514;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.741
650;;MG25-88515;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.857
649;;MG25-88516;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.724
652;;MG25-88517;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;1052
651;;MG25-88518;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.885
